id,first_name,DOB,birth_time
1,Andeee,7/25/2007,14:33:39
2,Valene,2/12/2009,18:16:25
3,Christel,5/25/2004,18:28:41
4,Ambrosio,10/7/2004,21:35:30
5,Anabel,10/10/2005,12:46:21
6,Kelila,1/3/2002,11:16:36
7,Arabella,11/7/2001,16:17:30
8,Matthew,8/20/2004,21:23:02
9,Heloise,11/9/2006,9:24:34
10,Korie,5/7/2006,3:46:51
11,Malinde,2/3/2010,10:18:22
12,Alano,1/2/2003,4:50:51
13,Durante,2/28/2006,17:34:19
14,Nicolette,11/5/2001,3:45:15
15,Roshelle,5/23/2007,13:56:51
16,Jerrilee,12/11/2001,15:21:53
17,Elladine,4/11/2002,8:28:27
18,Amabel,12/7/2008,20:17:28
19,Ally,6/23/2001,21:35:22
20,Therese,7/12/2006,5:08:51
21,Gertie,4/8/2005,14:04:13
22,Devonne,7/4/2004,0:40:36
23,Hersch,8/29/2004,10:37:54
24,Chloe,2/20/2004,4:49:04
25,Cathlene,5/25/2003,21:50:05
26,Engracia,9/22/2003,14:22:06
27,Claribel,10/22/2006,4:51:26
28,Dodi,2/13/2005,13:22:20
29,Heddi,4/11/2007,0:00:56
30,Elayne,11/7/2002,7:14:21
31,Trudie,11/7/2006,7:50:45
32,Brandy,8/9/2003,2:45:36
33,Howard,1/27/2010,20:14:24
34,Averell,9/1/2001,10:33:58
35,Ives,7/19/2003,5:17:00
36,Delano,11/2/2006,2:37:06
37,Hailee,9/27/2005,6:24:17
38,Ingram,9/28/2007,3:52:52
39,Jori,10/9/2003,7:13:58
40,Ive,1/14/2003,3:59:50
41,Amber,6/24/2002,19:41:24
42,Rafferty,9/21/2003,21:15:46
43,Danice,8/8/2009,7:55:50
44,Tallie,7/3/2005,6:14:36
45,Clint,9/22/2003,4:51:19
46,Audy,7/17/2004,17:23:01
47,Kathye,1/26/2003,8:25:31
48,Bradford,4/2/2009,9:01:46
49,Wayland,2/11/2007,8:59:41
50,Moselle,12/11/2004,6:40:56
51,Rawley,10/7/2004,6:16:15
52,Darelle,4/17/2007,12:01:52
53,Stafford,8/1/2004,7:27:20
54,Bernice,9/11/2005,20:03:24
55,Florina,10/20/2003,6:16:32
56,Daffy,11/15/2006,4:15:05
57,Leo,5/28/2010,22:41:54
58,Cher,9/17/2009,0:22:57
59,Tamiko,2/15/2005,0:17:24
60,Carmen,9/8/2006,8:54:51
61,Toddy,6/30/2001,0:27:02
62,Ruthie,2/20/2004,20:28:43
63,Welsh,4/5/2002,5:00:55
64,Wesley,6/10/2002,10:33:15
65,Merissa,6/9/2002,21:52:05
66,Adela,8/12/2009,2:18:21
67,Annabelle,7/22/2002,21:44:50
68,Robby,4/14/2002,13:31:06
69,Heida,3/3/2003,14:05:30
70,Alicia,12/3/2004,2:16:56
71,Kellia,12/21/2009,7:51:55
72,Gonzalo,11/30/2003,5:34:28
73,Cosimo,7/11/2005,0:42:06
74,Zorine,10/18/2007,8:54:55
75,Horton,2/5/2010,3:50:38
76,Mariel,6/20/2010,13:50:52
77,Devin,2/28/2003,3:59:03
78,Marsha,12/20/2007,2:37:18
79,Edgard,8/8/2007,1:42:39
80,Kelsey,9/20/2007,23:11:43
81,Gillie,3/2/2010,3:52:12
82,Burlie,6/21/2006,11:34:35
83,Alvira,8/1/2007,17:46:31
84,Denni,2/27/2005,13:45:44
85,Leslie,8/26/2009,1:23:41
86,Yovonnda,10/28/2009,13:43:40
87,Cate,6/6/2001,2:53:10
88,Isidore,3/30/2007,10:57:31
89,Lizbeth,8/9/2003,18:50:29
90,Francesco,6/29/2009,0:00:14
91,Theo,8/12/2006,8:25:13
92,Coletta,10/28/2002,20:04:21
93,Patsy,8/19/2002,10:07:03
94,Barbi,4/4/2002,5:21:10
95,Junette,6/16/2005,18:00:07
96,Natalie,12/5/2005,11:01:54
97,Jilleen,3/8/2007,14:15:29
98,Dorotea,3/14/2001,9:14:28
